dataset,true_grade,true_sheldon,predicted_grade,predicted_sheldon,continuous_prediction,error,company,year,cert,filename,obverse_path,reverse_path
Proof,au58,58,MS64,64,63.601463317871094,5.601463317871094,PCGS,1856,04493455,au58-PCGS-1856-1C-04493455,Proof/au58/obverse/au58-PCGS-1856-1C-04493455.jpg,Proof/au58/reverse/au58-PCGS-1856-1C-04493455.jpg
Proof,au58,58,MS63,63,62.68006896972656,4.6800689697265625,PCGS,1862,43000026,au58-PCGS-1862-1C-43000026,Proof/au58/obverse/au58-PCGS-1862-1C-43000026.jpg,Proof/au58/reverse/au58-PCGS-1862-1C-43000026.jpg
Proof,ms60,60,MS64,64,64.38932037353516,4.389320373535156,CACG,1883,350323969,ms60-CACG-1883-1C-350323969,Proof/ms60/obverse/ms60-CACG-1883-1C-350323969.jpg,Proof/ms60/reverse/ms60-CACG-1883-1C-350323969.jpg
Proof,ms60,60,MS64,64,64.13804626464844,4.1380462646484375,CACG,1907,444706830,ms60-CACG-1907-1C-444706830,Proof/ms60/obverse/ms60-CACG-1907-1C-444706830.jpg,Proof/ms60/reverse/ms60-CACG-1907-1C-444706830.jpg
Proof,ms60,60,MS65,65,64.54508972167969,4.5450897216796875,PCGS,1888,43000033,ms60-PCGS-1888-1C-43000033,Proof/ms60/obverse/ms60-PCGS-1888-1C-43000033.jpg,Proof/ms60/reverse/ms60-PCGS-1888-1C-43000033.jpg
Proof,ms61,61,MS65,65,64.64724731445312,3.647247314453125,NGC,1892,3565004,ms61-NGC-1892-1C-3565004-002,Proof/ms61/obverse/ms61-NGC-1892-1C-3565004-002.jpg,Proof/ms61/reverse/ms61-NGC-1892-1C-3565004-002.jpg
Proof,ms61,61,MS65,65,65.26334381103516,4.263343811035156,PCGS,1863,21558933,ms61-PCGS-1863-1C-21558933,Proof/ms61/obverse/ms61-PCGS-1863-1C-21558933.jpg,Proof/ms61/reverse/ms61-PCGS-1863-1C-21558933.jpg
Proof,ms62,62,MS63,63,63.04462814331055,1.0446281433105469,NGC,1882,4292477,ms62-NGC-1882-1C-4292477-002,Proof/ms62/obverse/ms62-NGC-1882-1C-4292477-002.jpg,Proof/ms62/reverse/ms62-NGC-1882-1C-4292477-002.jpg
Proof,ms62,62,MS64,64,64.04779052734375,2.04779052734375,NGC,1882,4693183,ms62-NGC-1882-1C-4693183-002,Proof/ms62/obverse/ms62-NGC-1882-1C-4693183-002.jpg,Proof/ms62/reverse/ms62-NGC-1882-1C-4693183-002.jpg
Proof,ms62,62,MS64,64,64.46060180664062,2.460601806640625,NGC,1884,6484141,ms62-NGC-1884-1C-6484141-002,Proof/ms62/obverse/ms62-NGC-1884-1C-6484141-002.jpg,Proof/ms62/reverse/ms62-NGC-1884-1C-6484141-002.jpg
Proof,ms62,62,AU50,50,49.38087844848633,12.619121551513672,NGC,1906,4715231,ms62-NGC-1906-1C-4715231-005,Proof/ms62/obverse/ms62-NGC-1906-1C-4715231-005.jpg,Proof/ms62/reverse/ms62-NGC-1906-1C-4715231-005.jpg
Proof,ms62,62,MS64,64,64.06596374511719,2.0659637451171875,PCGS,1887,03869924,ms62-PCGS-1887-1C-03869924,Proof/ms62/obverse/ms62-PCGS-1887-1C-03869924.jpg,Proof/ms62/reverse/ms62-PCGS-1887-1C-03869924.jpg
Proof,ms62,62,MS64,64,64.13880920410156,2.1388092041015625,PCGS,1887,81610707,ms62-PCGS-1887-1C-81610707,Proof/ms62/obverse/ms62-PCGS-1887-1C-81610707.jpg,Proof/ms62/reverse/ms62-PCGS-1887-1C-81610707.jpg
Proof,ms62,62,MS64,64,63.908695220947266,1.9086952209472656,PCGS,1904,32781161,ms62-PCGS-1904-1C-32781161,Proof/ms62/obverse/ms62-PCGS-1904-1C-32781161.jpg,Proof/ms62/reverse/ms62-PCGS-1904-1C-32781161.jpg
Proof,ms63,63,MS64,64,64.26565551757812,1.265655517578125,NGC,1882,2673629,ms63-NGC-1882-1C-2673629-021,Proof/ms63/obverse/ms63-NGC-1882-1C-2673629-021.jpg,Proof/ms63/reverse/ms63-NGC-1882-1C-2673629-021.jpg
Proof,ms63,63,MS63,63,63.45407485961914,0.4540748596191406,NGC,1882,3900239,ms63-NGC-1882-1C-3900239-002,Proof/ms63/obverse/ms63-NGC-1882-1C-3900239-002.jpg,Proof/ms63/reverse/ms63-NGC-1882-1C-3900239-002.jpg
